	date	sentence
0	(4, 21, 2020)	"StopCovid: le débat sur le ""tracking"" à l'Assemblée sera suivi d'un vote"
1	(4, 21, 2020)	Coronavirus: le rappel à l'ordre d'Olivier Véran sur les règles de confinement
2	(4, 21, 2020)	Triple homicide à Carvin: le conjoint mis en examen pour meurtres
3	(4, 21, 2020)	Un médecin généraliste meurt du coronavirus dans les Hauts-de-France
4	(4, 20, 2020)	Résultat Loto: le tirage du lundi 20 avril 2020
5	(4, 20, 2020)	Coronavirus: 33 morts en 24h à l'hôpital dans les Hauts-de-France
6	(4, 20, 2020)	Coronavirus: 18 morts en 24h à l'hôpital dans le Rhône, le nombre de personnes hospitalisées de nouveau en baisse
7	(4, 20, 2020)	Cérémonies du 8-Mai: l'Association des maires de France demande aux élus de déposer une gerbe
8	(4, 20, 2020)	"Mougins: un Ehpad visé par une enquête pour ""homicides involontaires"" après la mort de 37 résidents du Covid-19"
9	(4, 20, 2020)	De fortes pluies attendues dans le Sud et en Corse 
10	(4, 20, 2020)	Coronavirus: 449 morts au Royaume-Uni, plus faible bilan en deux semaines
11	(4, 20, 2020)	"L'Etat condamné pour ""faute lourde"" après un féminicide en 2014 dans le Nord"
12	(4, 20, 2020)	"Procès Balkany: la cour d'appel se prononcera le 27 mai sur le volet ""blanchiment"""
13	(4, 20, 2020)	"Elections municipales: Cédric Villani plaide pour un report ""à mars prochain"""
14	(4, 20, 2020)	Coronavirus: les animaux domestiques ne jouent pas de rôle dans la transmission
15	(4, 20, 2020)	"Des sportifs nordistes récoltent plus de 4000 euros grâce à un ""marapompe"""
16	(4, 20, 2020)	Confinement: un couple de Parisiens renvoyé de sa location saisonnière en Bretagne
17	(4, 20, 2020)	Accident impliquant la police à Villeneuve-la-Garenne: la famille du jeune homme blessé porte plainte
18	(4, 20, 2020)	Ile-de-France: des masques distribués cette semaine aux commerçants, aux malades et aux femmes enceintes
19	(4, 20, 2020)	Confinement: les Parisiens ont gagné 25 minutes de sommeil
20	(4, 20, 2020)	"Coronavirus: Le Drian invite les Français expatriés à ""rester là où ils vivent"""
21	(4, 19, 2020)	Canada: un homme abattu après avoir tué au moins 16 personnes, la pire tuerie de l'histoire du pays
22	(4, 19, 2020)	Coronavirus: les États-Unis franchissent la barre des 40.000 morts
23	(4, 19, 2020)	Critiqué par la droite, l'exécutif maintient les cérémonies du 8 mai avec des aménagements
24	(4, 19, 2020)	Coronavirus: 17 morts en 24h dans les Hauts-de-France, le nombre de patients en réanimation en baisse
25	(4, 19, 2020)	Coronavirus: hospitalisations en hausse dans le Rhône mais nombre de patients en réanimation en baisse
26	(4, 19, 2020)	Paris: des traces de Covid-19 découvertes dans l'eau non potable, mais sans risque pour l'eau potable 
27	(4, 19, 2020)	Lyon: ouverture d'un nouveau point d'accueil pour les femmes victimes de violences
28	(4, 19, 2020)	"Jacqueline Gourault: le second tour des municipales aura ""sûrement lieu après l'été"""
29	(4, 19, 2020)	"Seine-Maritime: un loup ""très probablement"" aperçu vers Dieppe, une première depuis un siècle"
30	(4, 19, 2020)	Confinement: l'Etat de New York autorise les mariages par visioconférence
31	(4, 19, 2020)	Coronavirus: des otaries prennent leurs aises dans une station balnéaire argentine
32	(4, 19, 2020)	Dunkerque: il se fait passer pour un policier pour escroquer sa victime avec un faux contrôle d'attestation
33	(4, 19, 2020)	"Coronavirus: pour Mélenchon, le déconfinement le 11 mai est une ""décision hasardeuse"""
34	(4, 19, 2020)	Le bilan quotidien de la pandémie en Espagne baisse à 410 morts
35	(4, 19, 2020)	Confinement: un collectif lyonnais préconise une réduction de l'éclairage en ville 
36	(4, 18, 2020)	Contrôle du confinement: l'A75 bloquée dans les deux sens en Lozère
37	(4, 18, 2020)	L'ouverture du musée Pinault à la Bourse de commerce reportée au printemps 2021
38	(4, 18, 2020)	Les concours des grandes écoles reprogrammés entre le 20 juin et le 7 août
39	(4, 18, 2020)	Coronavirus: 23 morts en 24h dans les Hauts-de-France, le nombre de patients en réanimation en baisse
